Date,Valeur,Datetime,working day
2020-10-01 15:15:00,7.35,2020-10-01 15:15:00,True
2020-10-01 15:30:00,8.4,2020-10-01 15:30:00,True
2020-10-01 15:45:00,9.45,2020-10-01 15:45:00,True
2020-10-01 16:00:00,7.0,2020-10-01 16:00:00,True
2020-10-01 16:15:00,6.65,2020-10-01 16:15:00,True
2020-10-01 16:30:00,7.0,2020-10-01 16:30:00,True
2020-10-01 16:45:00,7.0,2020-10-01 16:45:00,True
2020-10-01 17:00:00,4.9,2020-10-01 17:00:00,True
2020-10-01 17:15:00,4.55,2020-10-01 17:15:00,True
2020-10-01 17:30:00,5.95,2020-10-01 17:30:00,True
2020-10-01 17:45:00,5.25,2020-10-01 17:45:00,True
2020-10-01 18:00:00,4.55,2020-10-01 18:00:00,True
2020-10-01 18:15:00,4.2,2020-10-01 18:15:00,True
2020-10-01 18:30:00,6.3,2020-10-01 18:30:00,True
2020-10-01 18:45:00,5.6,2020-10-01 18:45:00,True
2020-10-01 19:00:00,4.55,2020-10-01 19:00:00,True
2020-10-01 19:15:00,4.2,2020-10-01 19:15:00,True
2020-10-01 19:30:00,4.55,2020-10-01 19:30:00,True
2020-10-01 19:45:00,5.25,2020-10-01 19:45:00,True
2020-10-01 20:00:00,6.3,2020-10-01 20:00:00,True
2020-10-01 20:15:00,4.55,2020-10-01 20:15:00,True
2020-10-01 20:30:00,4.2,2020-10-01 20:30:00,True
2020-10-01 20:45:00,4.2,2020-10-01 20:45:00,True
2020-10-01 21:00:00,4.9,2020-10-01 21:00:00,True
2020-10-01 21:15:00,6.3,2020-10-01 21:15:00,True
2020-10-01 21:30:00,5.25,2020-10-01 21:30:00,True
2020-10-01 21:45:00,4.55,2020-10-01 21:45:00,True
2020-10-01 22:00:00,5.6,2020-10-01 22:00:00,True
2020-10-01 22:15:00,5.6,2020-10-01 22:15:00,True
2020-10-01 22:30:00,4.9,2020-10-01 22:30:00,True
2020-10-01 22:45:00,5.95,2020-10-01 22:45:00,True
2020-10-01 23:00:00,5.25,2020-10-01 23:00:00,True
2020-10-01 23:15:00,5.6,2020-10-01 23:15:00,True
2020-10-01 23:30:00,5.25,2020-10-01 23:30:00,True
2020-10-01 23:45:00,4.55,2020-10-01 23:45:00,True
2020-10-02 00:00:00,4.9,2020-10-02 00:00:00,True
2020-10-02 00:15:00,4.2,2020-10-02 00:15:00,True
