Datetime,Valeur
2019-12-01 07:15:00,7.77
2019-12-01 07:30:00,7.35
2019-12-01 07:45:00,7.35
2019-12-01 08:00:00,7.56
2019-12-01 08:15:00,7.35
2019-12-01 08:30:00,9.45
2019-12-01 08:45:00,10.71
2019-12-01 09:00:00,11.13
2019-12-01 09:15:00,9.87
2019-12-01 09:30:00,9.45
2019-12-01 09:45:00,9.66
2019-12-01 10:00:00,9.45
2019-12-01 10:15:00,9.66
2019-12-01 10:30:00,9.45
2019-12-01 10:45:00,9.45
2019-12-01 11:00:00,9.45
2019-12-01 11:15:00,9.45
2019-12-01 11:30:00,9.45
2019-12-01 11:45:00,9.45
2019-12-01 12:00:00,9.24
2019-12-01 12:15:00,9.24
2019-12-01 12:30:00,9.87
2019-12-01 12:45:00,8.82
2019-12-01 13:00:00,7.14
2019-12-01 13:15:00,6.3
2019-12-01 13:30:00,6.09
2019-12-01 13:45:00,6.09
2019-12-01 14:00:00,6.51
2019-12-01 14:15:00,6.3
2019-12-01 14:30:00,6.09
2019-12-01 14:45:00,6.51
2019-12-01 15:00:00,6.72
2019-12-01 15:15:00,6.93
2019-12-01 15:30:00,7.14
2019-12-01 15:45:00,7.35
2019-12-01 16:00:00,6.93
2019-12-01 16:15:00,6.93
2019-12-01 16:30:00,7.56
2019-12-01 16:45:00,7.14
2019-12-01 17:00:00,7.56
2019-12-01 17:15:00,7.14
2019-12-01 17:30:00,7.56
2019-12-01 17:45:00,7.56
2019-12-01 18:00:00,7.56
2019-12-01 18:15:00,7.35
2019-12-01 18:30:00,7.56
2019-12-01 18:45:00,7.56
2019-12-01 19:00:00,7.35
2019-12-01 19:15:00,7.56
2019-12-01 19:30:00,7.77
2019-12-01 19:45:00,7.77
2019-12-01 20:00:00,7.35
2019-12-01 20:15:00,7.77
2019-12-01 20:30:00,7.56
2019-12-01 20:45:00,7.56
2019-12-01 21:00:00,7.56
2019-12-01 21:15:00,7.35
2019-12-01 21:30:00,7.98
2019-12-01 21:45:00,7.56
2019-12-01 22:00:00,7.56
2019-12-01 22:15:00,7.56
2019-12-01 22:30:00,7.56
2019-12-01 22:45:00,7.35
2019-12-01 23:00:00,7.35
2019-12-01 23:15:00,6.51
2019-12-01 23:30:00,6.3
2019-12-01 23:45:00,6.3
2019-12-02 00:00:00,5.67
2019-12-02 00:15:00,5.67
2019-12-02 00:30:00,5.88
2019-12-02 00:45:00,6.09
2019-12-02 01:00:00,5.67
2019-12-02 01:15:00,6.09
2019-12-02 01:30:00,5.46
2019-12-02 01:45:00,5.88
2019-12-02 02:00:00,5.46
2019-12-02 02:15:00,5.88
2019-12-02 02:30:00,5.67
2019-12-02 02:45:00,5.67
2019-12-02 03:00:00,5.67
2019-12-02 03:15:00,6.3
2019-12-02 03:30:00,5.67
2019-12-02 03:45:00,6.3
2019-12-02 04:00:00,5.88
2019-12-02 04:15:00,5.67
2019-12-02 04:30:00,5.67
2019-12-02 04:45:00,5.67
2019-12-02 05:00:00,5.67
2019-12-02 05:15:00,5.46
2019-12-02 05:30:00,5.88
